product id,name,description,category
P001,MacBook Pro,16-inch M3 Max laptop,Electronics
P002,Cotton T-Shirt,Blue round neck,Cloths
P003,Wireless Headphones,Over-ear active noise-canceling headphones,Electronics
P004,Blender & Smoothie Maker,High-speed 1000W countertop blender,Home & Kitchen
P005,Stainless Steel Bottle,32 oz vacuum insulated water flask,Home & Kitchen
P006,Ergonomic Office Chair,High-back mesh chair with adjustable lumbar support,Furniture
P007,Standing Desk Converter,Adjustable height dual-monitor riser,Furniture
P008,Mechanical Keyboard,RGB backlit keyboard with tactile switches,Electronics
P009,Denim Jacket,Classic vintage fit blue denim jacket,Cloths
P010,Smart Fitness Tracker,Waterproof band with heart rate and sleep monitor,Electronics
